Task size,Pages,Task size local ,Task size rem,Distance,Comtime,Decision
1,1,106.36,165.69,1,5.5,0
1,1,106.36,165.69,2,5.5,0
1,1,106.36,165.69,3,5.8,0
1,1,106.36,165.69,4,5.9,0
1,1,106.36,165.69,5,5.9,0
1,1,106.36,165.69,6,6,0
1,1,106.36,165.69,7,6,0
1,1,106.36,165.69,8,6,0
1,1,106.36,165.69,9,6.3,0
1,1,106.36,165.69,10,6.3,0
1,1,106.36,165.69,11,6.5,0
1,1,106.36,165.69,12,6.4,0
1,1,106.36,165.69,13,6.4,0
1,1,106.36,165.69,14,6.5,0
1,1,106.36,165.69,15,6.5,0
1,1,106.36,165.69,16,6.5,0
1,1,106.36,165.69,17,6.7,0
1,1,106.36,165.69,18,7.1,0
1,1,106.36,165.69,19,7.7,0
1,1,106.36,165.69,20,8,0
1,1,106.36,165.69,21,8,0
1,1,106.36,165.69,22,8.1,0
1,1,106.36,165.69,23,8.4,0
1,1,106.36,165.69,24,8.6,0
1,1,106.36,165.69,25,8.8,0
1,1,106.36,165.69,26,9.1,0
1,1,106.36,165.69,27,9.3,0
1,1,106.36,165.69,28,10.1,0
1,1,106.36,165.69,29,10.4,0
1,1,106.36,165.69,30,11,0
1,1,106.36,165.69,31,11,0
1,1,106.36,165.69,32,11.2,0
1,1,106.36,165.69,33,11.4,0
1,1,106.36,165.69,34,11.4,0
1,1,106.36,165.69,35,11.5,0
1,1,106.36,165.69,36,11.5,0
1,1,106.36,165.69,37,11.6,0
1,1,106.36,165.69,38,12,0
1,1,106.36,165.69,39,12.2,0
1,1,106.36,165.69,40,12.5,0
2,1,581.71,278.24,1,5.5,0
2,1,581.71,278.24,2,5.5,0
2,1,581.71,278.24,3,5.8,0
2,1,581.71,278.24,4,5.9,0
2,1,581.71,278.24,5,5.9,0
2,1,581.71,278.24,6,6,0
2,1,581.71,278.24,7,6,0
2,1,581.71,278.24,8,6,0
2,1,581.71,278.24,9,6.3,0
2,1,581.71,278.24,10,6.3,0
2,1,581.71,278.24,11,6.5,0
2,1,581.71,278.24,12,6.4,0
2,1,581.71,278.24,13,6.4,0
2,1,581.71,278.24,14,6.5,0
2,1,581.71,278.24,15,6.5,0
2,1,581.71,278.24,16,6.5,0
2,1,581.71,278.24,17,6.7,0
2,1,581.71,278.24,18,7.1,0
2,1,581.71,278.24,19,7.7,0
2,1,581.71,278.24,20,8,0
2,1,581.71,278.24,21,8,0
2,1,581.71,278.24,22,8.1,0
2,1,581.71,278.24,23,8.4,0
2,1,581.71,278.24,24,8.6,0
2,1,581.71,278.24,25,8.8,0
2,1,581.71,278.24,26,9.1,0
2,1,581.71,278.24,27,9.3,0
2,1,581.71,278.24,28,10.1,0
2,1,581.71,278.24,29,10.4,0
2,1,581.71,278.24,30,11,0
2,1,581.71,278.24,31,11,0
2,1,581.71,278.24,32,11.2,0
2,1,581.71,278.24,33,11.4,0
2,1,581.71,278.24,34,11.4,0
2,1,581.71,278.24,35,11.5,0
2,1,581.71,278.24,36,11.5,0
2,1,581.71,278.24,37,11.6,0
2,1,581.71,278.24,38,12,0
2,1,581.71,278.24,39,12.2,0
2,1,581.71,278.24,40,12.5,0
3,1,351.31,327.3,1,5.5,0
3,1,351.31,327.3,2,5.5,0
3,1,351.31,327.3,3,5.8,0
3,1,351.31,327.3,4,5.9,0
3,1,351.31,327.3,5,5.9,0
3,1,351.31,327.3,6,6,0
3,1,351.31,327.3,7,6,0
3,1,351.31,327.3,8,6,0
3,1,351.31,327.3,9,6.3,0
3,1,351.31,327.3,10,6.3,0
3,1,351.31,327.3,11,6.5,0
3,1,351.31,327.3,12,6.4,0
3,1,351.31,327.3,13,6.4,0
3,1,351.31,327.3,14,6.5,0
3,1,351.31,327.3,15,6.5,0
3,1,351.31,327.3,16,6.5,0
3,1,351.31,327.3,17,6.7,0
3,1,351.31,327.3,18,7.1,0
3,1,351.31,327.3,19,7.7,0
3,1,351.31,327.3,20,8,0
3,1,351.31,327.3,21,8,0
3,1,351.31,327.3,22,8.1,0
3,1,351.31,327.3,23,8.4,0
3,1,351.31,327.3,24,8.6,0
3,1,351.31,327.3,25,8.8,0
3,1,351.31,327.3,26,9.1,0
3,1,351.31,327.3,27,9.3,0
3,1,351.31,327.3,28,10.1,0
3,1,351.31,327.3,29,10.4,0
3,1,351.31,327.3,30,11,0
3,1,351.31,327.3,31,11,0
3,1,351.31,327.3,32,11.2,0
3,1,351.31,327.3,33,11.4,0
3,1,351.31,327.3,34,11.4,0
3,1,351.31,327.3,35,11.5,0
3,1,351.31,327.3,36,11.5,0
3,1,351.31,327.3,37,11.6,0
3,1,351.31,327.3,38,12,0
3,1,351.31,327.3,39,12.2,0
3,1,351.31,327.3,40,12.5,0
4,2,410.07,1488.03,1,5.5,0
4,2,410.07,1488.03,2,5.5,0
4,2,410.07,1488.03,3,5.8,0
4,2,410.07,1488.03,4,5.9,0
4,2,410.07,1488.03,5,5.9,0
4,2,410.07,1488.03,6,6,0
4,2,410.07,1488.03,7,6,0
4,2,410.07,1488.03,8,6,0
4,2,410.07,1488.03,9,6.3,0
4,2,410.07,1488.03,10,6.3,0
4,2,410.07,1488.03,11,6.5,0
4,2,410.07,1488.03,12,6.4,0
4,2,410.07,1488.03,13,6.4,0
4,2,410.07,1488.03,14,6.5,0
4,2,410.07,1488.03,15,6.5,0
4,2,410.07,1488.03,16,6.5,0
4,2,410.07,1488.03,17,6.7,0
4,2,410.07,1488.03,18,7.1,0
4,2,410.07,1488.03,19,7.7,0
4,2,410.07,1488.03,20,8,0
4,2,410.07,1488.03,21,8,0
4,2,410.07,1488.03,22,8.1,0
4,2,410.07,1488.03,23,8.4,0
4,2,410.07,1488.03,24,8.6,0
4,2,410.07,1488.03,25,8.8,0
4,2,410.07,1488.03,26,9.1,0
4,2,410.07,1488.03,27,9.3,0
4,2,410.07,1488.03,28,10.1,0
4,2,410.07,1488.03,29,10.4,0
4,2,410.07,1488.03,30,11,0
4,2,410.07,1488.03,31,11,0
4,2,410.07,1488.03,32,11.2,0
4,2,410.07,1488.03,33,11.4,0
4,2,410.07,1488.03,34,11.4,0
4,2,410.07,1488.03,35,11.5,0
4,2,410.07,1488.03,36,11.5,0
4,2,410.07,1488.03,37,11.6,0
4,2,410.07,1488.03,38,12,0
4,2,410.07,1488.03,39,12.2,0
4,2,410.07,1488.03,40,12.5,0
11,1,333.38,828.48,1,5.5,0
11,1,333.38,828.48,2,5.5,0
11,1,333.38,828.48,3,5.8,0
11,1,333.38,828.48,4,5.9,0
11,1,333.38,828.48,5,5.9,0
11,1,333.38,828.48,6,6,0
11,1,333.38,828.48,7,6,0
11,1,333.38,828.48,8,6,0
11,1,333.38,828.48,9,6.3,0
11,1,333.38,828.48,10,6.3,0
11,1,333.38,828.48,11,6.5,0
11,1,333.38,828.48,12,6.4,0
11,1,333.38,828.48,13,6.4,0
11,1,333.38,828.48,14,6.5,0
11,1,333.38,828.48,15,6.5,0
11,1,333.38,828.48,16,6.5,0
11,1,333.38,828.48,17,6.7,0
11,1,333.38,828.48,18,7.1,0
11,1,333.38,828.48,19,7.7,0
11,1,333.38,828.48,20,8,0
11,1,333.38,828.48,21,8,0
11,1,333.38,828.48,22,8.1,0
11,1,333.38,828.48,23,8.4,0
